"","line","yield","location","set"
"492","NEWBURG",140.8693,"state","2017_2016"
"493","REINS",143.1957,"state","2017_2016"
"494","ROCKFORD",130.373,"state","2017_2016"
"495","RON",151.7848,"state","2017_2016"
"496","SABER",154.3713,"state","2017_2016"
"497","SHELBY_427",133.3787,"state","2017_2016"
"498","SOURIS",133.4265,"state","2017_2016"
"499","STREAKER",103.5907,"state","2017_2016"
"500","mean",143.719754166667,"state","2017_2016"
"501","lsd0.1",8.06107,"state","2017_2016"
"502","BADGER",140.6079,"crk","2017_2015"
"503","BETAGENE",163.4508,"crk","2017_2015"
"504","COLT",143.9617,"crk","2017_2015"
"505","DEON",142.8698,"crk","2017_2015"
"506","ESKER",152.3949,"crk","2017_2015"
"507","GOLIATH",145.3957,"crk","2017_2015"
"508","HAYDEN",176.9203,"crk","2017_2015"
"509","HORSEPOWER",160.6584,"crk","2017_2015"
"510","JURY",160.1811,"crk","2017_2015"
"511","MN11139",153.7787,"crk","2017_2015"
"512","MN11211",156.2879,"crk","2017_2015"
"513","MNBT1020-1",165.7269,"crk","2017_2015"
"514","MNBT1021-1",140.4747,"crk","2017_2015"
"515","NATTY",151.8296,"crk","2017_2015"
"516","NEWBURG",159.0155,"crk","2017_2015"
"517","ROCKFORD",138.9367,"crk","2017_2015"
"518","RON",156.3265,"crk","2017_2015"
"519","SABER",148.4347,"crk","2017_2015"
"520","SHELBY_427",154.5205,"crk","2017_2015"
"521","SOURIS",155.28,"crk","2017_2015"
"522","mean",153.352615,"crk","2017_2015"
"523","lsd0.1",14.09068,"crk","2017_2015"
"524","BADGER",124.833,"lam","2017_2015"
"525","BETAGENE",182.7115,"lam","2017_2015"
"526","COLT",121.7046,"lam","2017_2015"
"527","DEON",204.6419,"lam","2017_2015"
"528","ESKER",166.4902,"lam","2017_2015"
"529","GOLIATH",145.837,"lam","2017_2015"
"530","HAYDEN",158.2144,"lam","2017_2015"
"531","HORSEPOWER",127.5042,"lam","2017_2015"
"532","JURY",152.5649,"lam","2017_2015"
"533","MN11139",178.4891,"lam","2017_2015"
"534","MN11211",188.2618,"lam","2017_2015"
"535","MNBT1020-1",185.5397,"lam","2017_2015"
"536","MNBT1021-1",195.1537,"lam","2017_2015"
"537","NATTY",155.7376,"lam","2017_2015"
"538","NEWBURG",145.552,"lam","2017_2015"
"539","ROCKFORD",133.9504,"lam","2017_2015"
"540","RON",168.7518,"lam","2017_2015"
"541","SABER",150.3923,"lam","2017_2015"
"542","SHELBY_427",129.0312,"lam","2017_2015"
"543","SOURIS",119.7149,"lam","2017_2015"
"544","mean",156.75381,"lam","2017_2015"
"545","lsd0.1",21.93549,"lam","2017_2015"
"546","BADGER",107.4244,"mos","2017_2015"
"547","BETAGENE",140.632,"mos","2017_2015"
"548","COLT",66.8543,"mos","2017_2015"
"549","DEON",141.8043,"mos","2017_2015"
"550","ESKER",111.4428,"mos","2017_2015"
"551","GOLIATH",89.724,"mos","2017_2015"
"552","HAYDEN",128.4106,"mos","2017_2015"
"553","HORSEPOWER",107.6868,"mos","2017_2015"
"554","JURY",115.9222,"mos","2017_2015"
"555","MN11139",137.7069,"mos","2017_2015"
"556","MN11211",124.7311,"mos","2017_2015"
"557","MNBT1020-1",128.5447,"mos","2017_2015"
"558","MNBT1021-1",139.5614,"mos","2017_2015"
"559","NATTY",111.2167,"mos","2017_2015"
"560","NEWBURG",119.7122,"mos","2017_2015"
"561","ROCKFORD",119.2473,"mos","2017_2015"
"562","RON",139.0195,"mos","2017_2015"
"563","SABER",138.8126,"mos","2017_2015"
"564","SHELBY_427",120.749,"mos","2017_2015"
"565","SOURIS",106.5032,"mos","2017_2015"
"566","mean",119.7853,"mos","2017_2015"
"567","lsd0.1",20.46861,"mos","2017_2015"
"568","BADGER",154.111,"ste","2017_2015"
"569","BETAGENE",174.2079,"ste","2017_2015"
"570","COLT",131.1873,"ste","2017_2015"
"571","DEON",182.231,"ste","2017_2015"
"572","ESKER",165.8462,"ste","2017_2015"
"573","GOLIATH",171.5267,"ste","2017_2015"
"574","HAYDEN",177.9414,"ste","2017_2015"
"575","HORSEPOWER",180.5874,"ste","2017_2015"
"576","JURY",165.7071,"ste","2017_2015"
"577","MN11139",176.7448,"ste","2017_2015"
"578","MN11211",190.7686,"ste","2017_2015"
"579","MNBT1020-1",170.306,"ste","2017_2015"
"580","MNBT1021-1",188.9309,"ste","2017_2015"
"581","NATTY",173.6951,"ste","2017_2015"
"582","NEWBURG",168.8396,"ste","2017_2015"
"583","ROCKFORD",157.2273,"ste","2017_2015"
"584","RON",171.514,"ste","2017_2015"
"585","SABER",168.8393,"ste","2017_2015"
"586","SHELBY_427",158.6863,"ste","2017_2015"
"587","SOURIS",173.5557,"ste","2017_2015"
"588","mean",170.12268,"ste","2017_2015"
"589","lsd0.1",15.8735,"ste","2017_2015"
"590","BADGER",83.6102,"was","2017_2015"
"591","BETAGENE",82.6295,"was","2017_2015"
"592","COLT",73.2183,"was","2017_2015"
"593","DEON",81.1296,"was","2017_2015"
"594","ESKER",101.5222,"was","2017_2015"
"595","GOLIATH",78.1554,"was","2017_2015"
"596","HAYDEN",73.0168,"was","2017_2015"
"597","HORSEPOWER",60.0171,"was","2017_2015"
"598","JURY",58.4655,"was","2017_2015"
